# year	rabbit	cat	    tiger
2000	30e3	4e3	48300
2001	47.2e3	6.1e3	48200
2002	70.2e3	9.8e3	41500
2003	77.4e3	35.2e3	38200
2004	36.3e3	59.4e3	40600
2005	20.6e3	41.7e3	39800
2006	18.1e3	19e3	38600
2007	21.4e3	13e3	42300
2008	22e3	8.3e3	44500
2009	25.4e3	9.1e3	42100
2010	27.1e3	7.4e3	46000
2011	40.3e3	8e3	46800
2012	57e3	12.3e3	43800
2013	76.6e3	19.5e3	40900
2014	52.3e3	45.7e3	39400
2015	19.5e3	51.1e3	39000
2016	11.2e3	29.7e3	36700
2017	7.6e3	15.8e3	41800
2018	14.6e3	9.7e3	43300
2019	16.2e3	10.1e3	41300
2020	24.7e3	8.6e3	47300
